species,atom_index,symbol,old_charge,new_charge,delta,abs_delta
glucose_2,18,H,0.06899178172003873,0.08348844123237938,0.014496659512340651,0.014496659512340651
glucose_2,19,H,0.05935436649323217,0.05266708246153235,-0.006687284031699818,0.006687284031699818
glucose_2,20,H,0.059354366493233,0.05266708246153235,-0.006687284031700651,0.006687284031700651
glucose_2,21,H,0.37008072023780614,0.37745558318899636,0.00737486295119022,0.00737486295119022
glucose_2,22,H,0.09129685700134599,0.08680224308270501,-0.004494613918640977,0.004494613918640977
glucose_2,23,H,-0.020158075213002693,0.01566192133528707,0.03581999654828977,0.03581999654828977
glucose_2,24,H,0.4209607356080382,0.3738567958500203,-0.04710393975801791,0.04710393975801791
glucose_2,25,H,0.0016708668003690974,0.09139147086549589,0.08972060406512679,0.08972060406512679
glucose_2,26,H,-0.2684224902893043,-0.0004999003998338348,0.2679225898894705,0.2679225898894705
glucose_2,27,H,-0.2684224902893052,-0.0004999003998338348,0.2679225898894714,0.2679225898894714
glucose_3,0,H,0.49119831097895905,0.3579987556543125,-0.13319955532464656,0.13319955532464656
glucose_3,1,O,-0.8449763061967678,-0.6246206452526679,0.22035566094409986,0.22035566094409986
glucose_3,2,C,0.7693827986324125,0.4933999263101184,-0.2759828723222941,0.2759828723222941
glucose_3,3,O,-0.5723266861184898,-0.45343061692303965,0.11889606919545015,0.11889606919545015
glucose_3,4,C,0.37908876740868697,0.21757022340708407,-0.1615185440016029,0.1615185440016029
glucose_3,5,C,0.15623758231161539,0.2289036994425896,0.0726661171309742,0.0726661171309742
glucose_3,6,O,-0.6335419250066345,-0.6385967772392214,-0.005054852232586837,0.005054852232586837
glucose_3,7,C,-0.5812847868691438,-0.6166240142870548,-0.03533922741791107,0.03533922741791107
glucose_3,8,H,0.20270492808106594,0.19616875612629436,-0.006536171954771575,0.006536171954771575
glucose_3,9,C,1.0948000701060554,0.07075215012687587,-1.0240479199791794,1.0240479199791794
glucose_3,10,O,-0.707534015826683,-0.3784307941524541,0.32910322167422884,0.32910322167422884
glucose_3,11,C,0.7213318999111816,0.149431472001114,-0.5719004279100677,0.5719004279100677
glucose_3,12,C,0.3246410633722463,0.841144093793196,0.5165030304209497,0.5165030304209497
glucose_3,13,O,-0.6044905398392059,-0.8060723858209276,-0.20158184598172169,0.20158184598172169
glucose_3,14,O,-0.7201505235330403,-0.8060723858209276,-0.08592186228788723,0.08592186228788723
glucose_3,15,C,-0.7585359912807256,0.11885237236064405,0.8773883636413696,0.8773883636413696
glucose_3,16,O,-0.4468685584659885,-0.6006178943443401,-0.1537493358783516,0.1537493358783516
glucose_3,17,H,-0.007696810386692787,-0.0048593597893282214,0.002837450597364566,0.002837450597364566
glucose_3,18,H,0.04439758928065124,0.033658538856616294,-0.010739050424034946,0.010739050424034946
glucose_3,19,H,0.020608441453570173,0.021226314048318574,0.0006178725947484018,0.0006178725947484018
glucose_3,20,H,0.020608441453570173,0.021226314048318574,0.0006178725947484018,0.0006178725947484018
